episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,10.0,10
0,1,eval_idx01,8.0,8
0,1,eval_idx02,9.0,9
0,1,eval_idx03,9.0,9
0,1,eval_idx04,9.0,9
0,1,eval_idx05,10.0,10
0,1,eval_idx06,9.0,9
0,1,eval_idx07,9.0,9
0,1,eval_idx08,10.0,10
0,1,eval_idx09,10.0,10
50,1054,eval_idx00,10.0,10
50,1054,eval_idx01,8.0,8
50,1054,eval_idx02,9.0,9
50,1054,eval_idx03,9.0,9
50,1054,eval_idx04,9.0,9
50,1054,eval_idx05,10.0,10
50,1054,eval_idx06,9.0,9
50,1054,eval_idx07,9.0,9
50,1054,eval_idx08,10.0,10
50,1054,eval_idx09,10.0,10
100,2220,eval_idx00,10.0,10
100,2220,eval_idx01,8.0,8
100,2220,eval_idx02,9.0,9
100,2220,eval_idx03,9.0,9
100,2220,eval_idx04,9.0,9
100,2220,eval_idx05,10.0,10
100,2220,eval_idx06,9.0,9
100,2220,eval_idx07,9.0,9
100,2220,eval_idx08,10.0,10
100,2220,eval_idx09,10.0,10
150,3222,eval_idx00,10.0,10
150,3222,eval_idx01,8.0,8
150,3222,eval_idx02,9.0,9
150,3222,eval_idx03,9.0,9
150,3222,eval_idx04,9.0,9
150,3222,eval_idx05,10.0,10
150,3222,eval_idx06,9.0,9
150,3222,eval_idx07,9.0,9
150,3222,eval_idx08,10.0,10
150,3222,eval_idx09,10.0,10
200,4423,eval_idx00,27.0,27
200,4423,eval_idx01,21.0,21
200,4423,eval_idx02,22.0,22
200,4423,eval_idx03,18.0,18
200,4423,eval_idx04,19.0,19
200,4423,eval_idx05,18.0,18
200,4423,eval_idx06,19.0,19
200,4423,eval_idx07,23.0,23
200,4423,eval_idx08,18.0,18
200,4423,eval_idx09,20.0,20
250,5724,eval_idx00,9.0,9
250,5724,eval_idx01,10.0,10
250,5724,eval_idx02,9.0,9
250,5724,eval_idx03,10.0,10
250,5724,eval_idx04,10.0,10
250,5724,eval_idx05,8.0,8
250,5724,eval_idx06,9.0,9
250,5724,eval_idx07,10.0,10
250,5724,eval_idx08,9.0,9
250,5724,eval_idx09,9.0,9
300,6715,eval_idx00,9.0,9
300,6715,eval_idx01,10.0,10
300,6715,eval_idx02,9.0,9
300,6715,eval_idx03,10.0,10
300,6715,eval_idx04,10.0,10
300,6715,eval_idx05,8.0,8
300,6715,eval_idx06,9.0,9
300,6715,eval_idx07,10.0,10
300,6715,eval_idx08,9.0,9
300,6715,eval_idx09,9.0,9
350,7914,eval_idx00,9.0,9
350,7914,eval_idx01,10.0,10
350,7914,eval_idx02,9.0,9
350,7914,eval_idx03,10.0,10
350,7914,eval_idx04,10.0,10
350,7914,eval_idx05,8.0,8
350,7914,eval_idx06,9.0,9
350,7914,eval_idx07,10.0,10
350,7914,eval_idx08,9.0,9
350,7914,eval_idx09,9.0,9
400,9127,eval_idx00,9.0,9
400,9127,eval_idx01,10.0,10
400,9127,eval_idx02,9.0,9
400,9127,eval_idx03,10.0,10
400,9127,eval_idx04,10.0,10
400,9127,eval_idx05,8.0,8
